amplitude_case,separation_hz,replicate,sample_count,amplitude_1,amplitude_2,component_1_snr_db,component_2_snr_db,main_estimated_k,main_max_frequency_error_hz,main_success,main_bic_improvement,main_candidate_origin,main_residual_peak_ratio,main_conditional_glrt_statistic,main_conditional_glrt_threshold,main_frequency_ci_reliable,main_frequency_1_se_hz,main_frequency_2_se_hz,main_local_grid_step_hz,condition_design,condition_normal,smallest_singular_value,numerical_rank,column_count,ill_conditioned,music_estimated_k,music_max_frequency_error_hz,music_success,music_grid_step_hz,main_runtime_seconds,music_runtime_seconds,main_frequency_1_hz,main_frequency_2_hz,music_frequency_1_hz,music_frequency_2_hz
equal,0.00025,51,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,-30.737378818070283,peel_residual_rescan,5.080510512425638,0.35081000891484687,5.291862556499362,False,nan,nan,2.5e-05,1.2466493559085687,1.5541346165872494,0.8848977813891097,5,5,False,1,nan,False,2.5e-05,0.34557890001451597,0.02399459999287501,13.498475038073797,nan,13.500125,nan
equal,0.00025,52,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,-100.40050743054599,peel_residual_rescan,4.697185641766392,0.0,5.291862556499362,False,nan,nan,2.5e-05,1.0232024112350937,1.0469431743573099,0.9884668145624651,5,5,False,1,nan,False,2.5e-05,0.3500887000118382,0.01988319994416088,13.498200044948625,nan,13.5,nan
equal,0.00025,53,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,-30.07984275187482,adaptive_split_1.50_over_T,3.7031173434618605,0.5699579101363496,5.291862556499362,False,nan,nan,2.5e-05,1.0699551430007277,1.1448040080337076,0.9656532167920174,5,5,False,1,nan,False,2.5e-05,0.42912009998690337,0.03379080002196133,13.498450038698783,nan,13.5,nan
equal,0.00025,54,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,-2862.1848172442114,peel_residual_rescan,3.9704793154697766,0.0,5.291862556499362,False,nan,nan,2.5e-05,1.0141921513054648,1.0285857197696069,0.9929291180868909,5,5,False,1,nan,False,2.5e-05,0.39452410000376403,0.028474099992308766,13.488631508829304,nan,13.5,nan
equal,0.00025,55,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,-29.05816629770561,fine_grid_secondary_peak,4.377620266395405,0.9104760379436831,5.291862556499362,False,nan,nan,2.5e-05,1.0561121139845306,1.1153727973048742,0.9723475857336241,5,5,False,1,nan,False,2.5e-05,0.41315890004625544,0.030034100054763258,13.498425039323767,nan,13.499925,nan
equal,0.00025,56,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,-30.152077406877652,peel_residual_rescan,3.1929184815394525,0.5458828978635281,5.291862556499362,False,nan,nan,2.5e-05,1.0691247247733053,1.143027677121596,0.9660533432982591,5,5,False,1,nan,False,2.5e-05,0.41679990000557154,0.030321500031277537,13.501624959426264,nan,13.500025,nan
equal,0.00025,57,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,-2672.2993517474097,peel_residual_rescan,15.031779066006726,0.0,5.291862556499362,False,nan,nan,2.5e-05,1.0181059795449683,1.0365397855852194,0.9909881830718387,5,5,False,1,nan,False,2.5e-05,0.4173108999966644,0.027147999964654446,13.495622388395716,nan,13.49995,nan
equal,0.00025,58,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,-39.93426043150248,peel_residual_rescan,10.785338503423572,0.0,5.291862556499362,False,nan,nan,2.5e-05,1.1921914002134404,1.4213203347428836,0.9088430137651209,5,5,False,1,nan,False,2.5e-05,0.3224885000381619,0.01915119995828718,13.498225044323641,nan,13.499875,nan
equal,0.00025,59,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,-27.36766648798948,adaptive_split_0.65_over_T,3.356362830489588,1.473927748568452,5.291862556499362,False,nan,nan,2.5e-05,1.019682129695983,1.0397516456213356,0.9902078474216706,5,5,False,1,nan,False,2.5e-05,0.3334622000111267,0.018080999958328903,13.501524961926203,nan,13.499925,nan
equal,0.00025,60,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,-214.5088143819885,peel_residual_rescan,3.6479956795503887,0.0,5.291862556499362,False,nan,nan,2.5e-05,1.1422624007166267,1.3047633920909114,0.9315406729771254,5,5,False,1,nan,False,2.5e-05,0.37630210001952946,0.027029299992136657,13.49817504557361,nan,13.499925,nan
